time,group,value,replicate,data_status
0,control,0.05,1,synthetic_demo
0,control,0.04,2,synthetic_demo
0,combination,0.05,1,synthetic_demo
0,combination,0.05,2,synthetic_demo
2,control,0.20,1,synthetic_demo
2,control,0.22,2,synthetic_demo
2,combination,0.10,1,synthetic_demo
2,combination,0.11,2,synthetic_demo
4,control,0.65,1,synthetic_demo
4,control,0.68,2,synthetic_demo
4,combination,0.18,1,synthetic_demo
4,combination,0.20,2,synthetic_demo
6,control,1.10,1,synthetic_demo
6,control,1.15,2,synthetic_demo
6,combination,0.28,1,synthetic_demo
6,combination,0.30,2,synthetic_demo
